epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,442.208,1.6432,2.60331,1.39516,0.64964,0.49582,0.47155,0.24867,1.38625,1.17119,1.23549,0.00332927,0.00332927,0.00332927
2,877.897,1.62977,1.81682,1.41135,0.71875,0.53414,0.59143,0.32204,1.36973,1.07689,1.25541,0.00657466,0.00657466,0.00657466
3,1305.76,1.68648,1.72887,1.46268,0.57279,0.38396,0.38117,0.19131,1.65504,1.6717,1.49654,0.00973205,0.00973205,0.00973205
4,1734.23,1.69733,1.58134,1.49545,0.8062,0.58798,0.63241,0.34833,1.39034,1.03666,1.31417,0.009604,0.009604,0.009604
5,2161.47,1.63602,1.40771,1.45676,0.80337,0.57713,0.6371,0.36097,1.35154,1.02904,1.26145,0.009472,0.009472,0.009472
6,2589.13,1.60165,1.31876,1.43281,0.80444,0.60702,0.66036,0.36923,1.33183,0.90377,1.25065,0.00934,0.00934,0.00934
7,3016.67,1.57933,1.26408,1.41631,0.82749,0.6335,0.69803,0.41534,1.28155,0.7753,1.22555,0.009208,0.009208,0.009208
8,3446.13,1.55824,1.22876,1.40015,0.88773,0.65934,0.72328,0.43594,1.26579,0.7471,1.20913,0.009076,0.009076,0.009076
9,3876.93,1.54242,1.18992,1.38442,0.85718,0.64786,0.72307,0.43303,1.24078,0.76084,1.19611,0.008944,0.008944,0.008944
10,4306.88,1.52233,1.16206,1.37229,0.89562,0.67753,0.75338,0.46685,1.20134,0.70718,1.16999,0.008812,0.008812,0.008812
11,4735.42,1.51409,1.14468,1.35794,0.89153,0.68805,0.75726,0.47075,1.18904,0.67716,1.15825,0.00868,0.00868,0.00868
12,5163.68,1.50934,1.12683,1.35192,0.89241,0.69172,0.76043,0.47298,1.19424,0.66344,1.15363,0.008548,0.008548,0.008548
13,5591.89,1.50219,1.10835,1.34403,0.90261,0.68597,0.76512,0.48134,1.17589,0.63277,1.1328,0.008416,0.008416,0.008416
14,6020.35,1.49512,1.08675,1.32833,0.89843,0.69683,0.76571,0.4858,1.16744,0.63088,1.12141,0.008284,0.008284,0.008284
15,6448.89,1.48371,1.07807,1.32618,0.90311,0.70143,0.78337,0.4961,1.15126,0.60883,1.10629,0.008152,0.008152,0.008152
16,6877.66,1.48009,1.06148,1.31845,0.89056,0.70819,0.79249,0.50778,1.14373,0.59679,1.10929,0.00802,0.00802,0.00802
